category10name,name
事務・管理系,総務・人事・労務
事務・管理系,経理・財務・会計
事務・管理系,法務・特許・審査
事務・管理系,貿易事務・海外事務
事務・管理系,物量・在庫管理
事務・管理系,秘書・受付
事務・管理系,一般事務・営業事務・アシスタント
事務・管理系,医療事務
企画・マーケティング系,宣伝・広報
企画・マーケティング系,調査研究・マーケティング
企画・マーケティング系,経営企画
企画・マーケティング系,企画・商品開発
営業系,営業（個人向け新規開拓メイン）
営業系,営業（個人向け既存顧客メイン）
営業系,営業（法人向け新規開拓メイン）
営業系,営業（法人向け既存顧客メイン）
営業系,海外営業
営業系,営業推進・販売促進
営業系,MR（医療情報担当者）
営業系,カスタマーサポート・カスタマーサクセス
営業系,技術営業・システム営業
技術・研究系,基礎研究
技術・研究系,応用研究・技術研究
技術・研究系,生産・製造技術
技術・研究系,機械・電子機器設計
技術・研究系,品質・生産管理・メンテナンス
技術・研究系,整備士
技術・研究系,航空整備・グランドハンドリング
技術・研究系,建築/建築整備
技術・研究系,施工/測量/積算/設計（土木）
技術・研究系,施工管理
販売・サービス系,調理師・調理補助
販売・サービス系,販売スタッフ・接客
販売・サービス系,店長（店舗運営など）
販売・サービス系,スーパーバイザー
販売・サービス系,バイヤー
販売・サービス系,エステティシャン
販売・サービス系,客室乗務員・パーサー
販売・サービス系,グランドスタッフ
販売・サービス系,ドライバー
販売・サービス系,タクシー・バス運転手
販売・サービス系,美容部員
販売・サービス系,店舗開発
専門系,経営コンサルタント
専門系,専門コンサルタント
専門系,栄養士
専門系,管理栄養士
専門系,アナウンサー
専門系,インテリアコーディネーター
専門系,通訳・翻訳
専門系,カラーリスト
専門系,ブライダルコーディネーター
専門系,葬祭プランナー
専門系,飼育員（ブリーダー・トリマー等）
専門系,税理士・公認会計士
医療・福祉系,薬剤師
医療・福祉系,登録販売者
医療・福祉系,看護師
医療・福祉系,救急救命士
医療・福祉系,理学療法士
医療・福祉系,作業療法士
医療・福祉系,言語聴覚士
医療・福祉系,視能訓練士
医療・福祉系,臨床工学技士
医療・福祉系,歯科衛生士
医療・福祉系,臨床検査技師
医療・福祉系,診療放射線技師
医療・福祉系,社会福祉士
医療・福祉系,精神保健福祉士
医療・福祉系,介護福祉士
医療・福祉系,介護職・ヘルパー
医療・福祉系,医療ソーシャルワーカー
医療・福祉系,マッサージ師・はり師
医療・福祉系,公認心理師・臨床心理士
金融系,為替ディーラー・トレーダー
金融系,融資・資産運用マネージャー
金融系,証券アナリスト
金融系,アクチュアリー
金融系,ファイナンシャルアドバイザー
クリエイティブ系,編集・制作
クリエイティブ系,記者・ライター
クリエイティブ系,ゲームクリエイター
クリエイティブ系,ファッションデザイナー・パタンナー
クリエイティブ系,ジュエリーデザイナー
クリエイティブ系,CGデザイナー
クリエイティブ系,グラフィックデザイナー
クリエイティブ系,インダストリアルデザイナー
クリエイティブ系,空間デザイナー
クリエイティブ系,フォトグラファー/カメラスタッフ
クリエイティブ系,撮影機材スタッフ（照明・音響）
クリエイティブ系,広告デザイナー
クリエイティブ系,WEBデザイナー
クリエイティブ系,WEBプロデューサー・ディレクター
IT系,ITコンサルタント
IT系,データサイエンティスト
IT系,プログラマー
IT系,ネットワークエンジニア
IT系,システム保守運用
IT系,システムコンサルタント
IT系,カスタマーエンジニア
IT系,システムエンジニア
IT系,セールスエンジニア
教育・保育・公共サービス系,講師・インストラクター
教育・保育・公共サービス系,警備員
教育・保育・公共サービス系,警察官・自衛官
教育・保育・公共サービス系,消防士
教育・保育・公共サービス系,保育士
教育・保育・公共サービス系,幼稚園教輸
教育・保育・公共サービス系,OAインストラクター
教育・保育・公共サービス系,スポーツインストラクター
教育・保育・公共サービス系,国家公務員
教育・保育・公共サービス系,地方公務員
教育・保育・公共サービス系,教師
教育・保育・公共サービス系,学芸員・司書
教育・保育・公共サービス系,その他公務員・団体職員