category00name,name
メーカー,農林・水産
メーカー,食品
メーカー,建設・設備関連
メーカー,住宅・インテリア
メーカー,アパレル・服飾関連
メーカー,繊維・紙・パルプ
メーカー,化学・石油
メーカー,薬品・化粧品
メーカー,ゴム・ガラス・セラミック
メーカー,鉄鋼・金属・鉱業
メーカー,機械
メーカー,プラント・エンジニアリング・環境
メーカー,電子・電気・OA機器
メーカー,自動車・輸送用機器
メーカー,精密・医療機器
メーカー,印刷・事務機械・日用品
メーカー,スポーツ・玩具・ゲーム製品
メーカー,その他メーカー・製造関連
商社,総合商社
商社,商社
流通・小売,百貨店・スーパー・コンビニ
流通・小売,専門店
金融,銀行・証券
金融,信金・労金・信組
金融,クレジット・信販・リース。その他金融
金融,生保・損保
サービス・インフラ,不動産
サービス・インフラ,鉄道・航空・道路
サービス・インフラ,陸運・海運・物流
サービス・インフラ,電力・ガス・エネルギー
サービス・インフラ,レストラン・給食・フードサービス
サービス・インフラ,ホテル・旅行
サービス・インフラ,医療機関・調剤薬局
サービス・インフラ,福祉サービス
サービス・インフラ,フィットネスクラブ・エステ・理美容
サービス・インフラ,アミューズメント・レジャー
サービス・インフラ,冠婚葬祭
サービス・インフラ,専門・その他サービス
サービス・インフラ,コンサルティング・シンクタンク・調査
サービス・インフラ,人材サービス（派遣・紹介）
サービス・インフラ,教育
ソフトウェア・通信,ソフトウェア・情報処理・ネット関連
ソフトウェア・通信,ゲームソフト
ソフトウェア・通信,通信
広告・出版・マスコミ,マスコミ（放送・新聞）
広告・出版・マスコミ,マスコミ（出版・広告）
広告・出版・マスコミ,芸能・映画・音楽
官公庁・公社・団体,官公庁・公社・団体