question00name,name
自己分析,今までの人生で一番頑張ったことは何ですか？それを通じて得た教訓は何ですか？
自己分析,あなたが人からよく褒められる点は何ですか？また、指摘される点は？
自己分析,あなたが楽しいと感じる瞬間はどのような時ですか？
自己分析,これまでの経験の中で、自分が成長したと感じた出来事は何ですか？
自己分析,あなたが他人よりも得意だと思うスキルや能力は何ですか？
自己分析,周りから「この人らしい」と言われる特徴や性格は何ですか？
自己分析,自分の中で譲れない価値観や信念は何ですか？
自己分析,過去に直面した失敗から学んだことは何ですか？
自己分析,あなたが目指したい将来像はどのようなものですか？
自己分析,人生でやりたいことの中で、これだけは実現させたいものは何ですか？
就活の軸,働く上で最も大切だと思う要素（例: 給与、成長、やりがい）は何ですか？理由も答えてください。
就活の軸,あなたにとって「理想的な職場環境」とはどのようなものですか？
就活の軸,社会において、自分がどのような役割を果たしたいと思いますか？
就活の軸,どんな業界や職種に興味がありますか？その理由は何ですか？
就活の軸,あなたが働く上で重視するのは「安定性」と「挑戦」のどちらですか？その理由も教えてください。
就活の軸,長期的にどのようなキャリアプランを描いていますか？
就活の軸,自分が一番貢献できると考える分野や仕事はどのようなものですか？
就活の軸,仕事とプライベートのバランスをどのように考えていますか？
就活の軸,あなたにとって「社会人としての成功」とはどのような状態ですか？
就活の軸,働く上で絶対に妥協できない条件は何ですか？
業界研究,今、注目している業界はどこですか？その理由を説明してください。
業界研究,注目している業界が直面している課題や問題は何ですか？
業界研究,あなたが興味のある業界で、特に伸びている分野はどこですか？
業界研究,興味のある業界で、競合他社と比較して特徴的な企業はどこですか？
業界研究,その業界で働くことが自分にどのように影響すると思いますか？
業界研究,その業界で求められるスキルや知識はどのようなものですか？
業界研究,あなたが関心のある業界の社会的な役割や価値は何だと思いますか？
業界研究,業界に対する印象や興味を持つきっかけとなった出来事は何ですか？
業界研究,その業界に関連するニュースやトレンドで印象に残ったことは何ですか？
業界研究,その業界に入ることで、自分がどのように成長できると感じますか？
職種研究,興味のある職種の具体的な業務内容はどのようなものですか？
職種研究,興味のある職種で活躍している人に共通する特徴は何だと思いますか？
職種研究,その職種に必要なスキルや経験は何だと考えますか？
職種研究,自分の性格や能力がその職種に向いている理由は何ですか？
職種研究,その職種の仕事に対するイメージや印象はどのようなものですか？
職種研究,その職種に就いた際に、自分がどのような役割を果たせると思いますか？
職種研究,興味のある職種で働く中で、一番不安に感じることは何ですか？
職種研究,その職種で活躍するために、自分がすでに持っている武器は何ですか？
職種研究,その職種におけるキャリアパスや将来性について、どのように考えますか？
職種研究,あなたがその職種を目指す理由は何ですか？また、なぜその仕事をしたいのですか？